iter	Passed	Remaining
0	0	278
1	1	254
2	2	215
3	2	194
4	3	214
5	5	246
6	5	230
7	5	217
8	6	217
9	7	209
10	8	210
11	8	205
12	9	199
13	9	194
14	9	189
15	10	185
16	10	181
17	11	177
18	11	174
19	12	171
20	12	169
21	13	166
22	13	164
23	14	162
24	14	160
25	15	158
26	15	156
27	15	155
28	16	153
29	16	152
30	17	150
31	17	149
32	18	147
33	18	146
34	19	145
35	19	144
36	20	142
37	20	141
38	21	140
39	21	139
40	21	138
41	22	137
42	22	136
43	23	135
44	23	134
45	24	133
46	24	132
47	25	131
48	25	130
49	26	130
50	26	129
51	26	128
52	27	127
53	27	126
54	28	125
55	28	125
56	29	124
57	29	123
58	30	122
59	30	122
60	30	121
61	31	120
62	31	119
63	32	119
64	32	118
65	33	117
66	33	117
67	34	116
68	34	115
69	35	115
70	35	114
71	35	113
72	36	113
73	36	112
74	37	112
75	37	111
76	38	110
77	38	110
78	39	109
79	39	108
80	40	108
81	40	107
82	40	107
83	41	106
84	41	105
85	42	105
86	42	104
87	43	104
88	43	103
89	44	103
90	44	102
91	45	101
92	45	101
93	45	100
94	46	100
95	46	99
96	50	105
97	50	104
98	51	103
99	51	103
100	52	102
101	52	102
102	52	101
103	53	100
104	53	100
105	56	103
106	57	103
107	58	103
108	58	102
109	59	102
110	59	101
111	60	100
112	60	100
113	61	99
114	61	98
115	61	98
116	62	97
117	62	96
118	63	96
119	63	95
120	64	94
121	64	94
122	65	93
123	65	92
124	65	92
125	66	91
126	66	91
127	67	90
128	67	89
129	68	89
130	68	88
131	69	87
132	69	87
133	69	86
134	70	86
135	70	85
136	71	84
137	71	84
138	72	83
139	72	83
140	73	82
141	73	81
142	77	85
143	78	84
144	79	85
145	80	84
146	80	84
147	81	83
148	81	82
149	82	82
150	83	81
151	83	81
152	84	81
153	85	80
154	85	80
155	86	79
156	86	78
157	87	78
158	87	77
159	88	77
160	89	76
161	89	76
162	89	75
163	90	74
164	90	74
165	91	73
166	91	72
167	92	72
168	92	72
169	93	71
170	94	70
171	94	70
172	95	70
173	96	69
174	97	69
175	97	68
176	98	68
177	98	67
178	98	66
179	99	66
180	100	66
181	100	65
182	101	64
183	101	64
184	102	63
185	102	62
186	103	62
187	103	61
188	104	61
189	104	60
190	105	60
191	105	59
192	106	58
193	107	58
194	107	58
195	108	57
196	109	57
197	110	56
198	110	56
199	110	55
200	111	54
201	111	54
202	112	53
203	112	53
204	113	52
205	114	52
206	114	51
207	114	50
208	115	50
209	115	49
210	116	48
211	116	48
212	117	47
213	117	47
214	118	46
215	119	46
216	119	45
217	120	45
218	121	44
219	122	44
220	122	43
221	124	43
222	124	43
223	125	42
224	126	42
225	126	41
226	126	40
227	127	40
228	128	39
229	128	39
230	129	38
231	129	38
232	130	37
233	131	37
234	132	36
235	132	36
236	133	35
237	133	34
238	134	34
239	134	33
240	135	33
241	135	32
242	136	31
243	136	31
244	137	30
245	137	30
246	138	29
247	138	29
248	139	28
249	140	28
250	140	27
251	141	26
252	142	26
253	143	26
254	144	25
255	144	24
256	145	24
257	146	23
258	146	23
259	147	22
260	147	22
261	148	21
262	149	20
263	149	20
264	150	19
265	151	19
266	151	18
267	152	18
268	153	17
269	154	17
270	155	16
271	156	16
272	156	15
273	157	14
274	157	14
275	158	13
276	159	13
277	159	12
278	160	12
279	160	11
280	161	10
281	162	10
282	162	9
283	163	9
284	163	8
285	164	8
286	165	7
287	166	6
288	166	6
289	167	5
290	167	5
291	168	4
292	168	4
293	169	3
294	170	2
295	171	2
296	171	1
297	172	1
298	172	0
299	173	0
