iter	Passed	Remaining
0	51	50977
1	52	26147
2	53	17721
3	55	13834
4	56	11321
5	57	9597
6	58	8341
7	59	7390
8	62	6891
9	64	6388
10	65	5878
11	66	5449
12	66	5086
13	69	4876
14	73	4824
15	74	4573
16	75	4379
17	77	4204
18	81	4205
19	90	4421
20	94	4427
21	95	4264
22	96	4114
23	97	3976
24	98	3858
25	100	3763
26	101	3661
27	102	3559
28	103	3464
29	104	3374
30	106	3313
31	108	3269
32	109	3212
33	110	3149
34	111	3081
35	112	3018
36	117	3046
37	121	3078
38	126	3124
39	130	3121
40	131	3086
41	135	3100
42	137	3049
43	139	3034
44	140	2983
45	141	2933
46	142	2886
47	143	2840
48	144	2796
49	144	2754
50	146	2717
51	146	2679
52	147	2641
53	148	2605
54	149	2570
55	150	2536
56	151	2503
57	152	2472
58	153	2441
59	153	2412
60	154	2382
61	155	2353
62	156	2325
63	157	2299
64	158	2273
65	158	2247
66	159	2223
67	160	2202
68	161	2183
69	162	2161
70	163	2139
71	164	2118
72	184	2345
73	191	2399
74	195	2405
75	200	2432
76	201	2419
77	209	2480
78	213	2490
79	220	2530
80	221	2513
81	223	2502
82	224	2479
83	225	2456
84	226	2433
85	226	2411
86	227	2389
87	228	2367
88	229	2349
89	230	2328
90	231	2308
91	231	2288
92	232	2271
93	233	2249
94	234	2232
95	236	2223
96	238	2220
97	239	2208
98	243	2212
99	245	2211
100	247	2201
101	248	2189
102	250	2179
103	252	2171
104	253	2163
105	255	2155
106	257	2151
107	259	2146
108	263	2151
109	265	2148
110	266	2131
111	268	2124
112	268	2110
113	269	2096
114	270	2083
115	271	2069
116	272	2055
117	273	2043
118	273	2027
119	274	2014
120	275	2001
121	276	1988
122	277	1980
123	278	1967
124	279	1956
125	280	1943
126	281	1933
127	282	1921
128	283	1913
129	284	1901
130	285	1892
131	286	1881
132	286	1870
133	287	1859
134	288	1848
135	289	1839
136	290	1828
137	291	1819
138	292	1809
139	292	1799
140	293	1789
141	294	1778
142	295	1769
143	295	1757
144	296	1748
145	297	1739
146	298	1730
147	299	1721
148	299	1712
149	300	1705
150	301	1697
151	302	1689
152	303	1680
153	304	1675
154	306	1669
155	307	1662
156	308	1654
157	308	1645
158	309	1638
159	310	1630
160	311	1622
161	312	1615
162	313	1611
163	315	1608
164	317	1605
165	319	1604
